"Country","IssuedLicNum","LicenseVersionWe","LicenseVersionWt","ReportedOn"
"countrycode0","16","0","16","2020-10-23"
"countrycode1","13","0","13","2020-10-23"
"countrycode2","6","0","6","2020-10-23"
"countrycode3","66","3","63","2020-10-23"
"countrycode4","7","0","7","2020-10-23"
"Local Admins","23","0","23","2020-10-23"
"countrycode5","1","0",,"2020-10-23"
"Global","3","0","3","2020-10-23"
"countrycode6","1","0",,"2020-10-23"
"countrycode7","1","0",,"2020-10-23"
"Local Service","1","0",,"2020-10-23"
